week_date,total_sales,cost_iron,cost_aluminum,cost_energy,fx_rate,ev_sales
28/12/2020,10932394,1.39,1645.84,0.0676,1.2271,79409
04/01/2021,3686280,1.39,1645.84,0.0676,1.2296,79409
11/01/2021,8965000,1.39,1645.84,0.0676,1.2163,79409
18/01/2021,11766983,1.39,1645.84,0.0676,1.2064,79409
25/01/2021,4926779,1.39,1645.84,0.0676,1.2152,79409
01/02/2021,21646899,1.35,1718.42,0.0676,1.2084,89306
08/02/2021,6276711,1.35,1718.42,0.0676,1.2025,89306
15/02/2021,9924264,1.35,1718.42,0.0676,1.2129,89306
22/02/2021,19072345,1.35,1718.42,0.0676,1.2133,89306
01/03/2021,8725729,1.41,1840.99,0.0676,1.2053,131139
08/03/2021,12546182,1.41,1840.99,0.0676,1.1866,131139
15/03/2021,41294801,1.41,1840.99,0.0676,1.192,131139
22/03/2021,10036910,1.41,1840.99,0.0676,1.1926,131139
29/03/2021,14751997,1.41,1840.99,0.0676,1.1784,131139
05/04/2021,31517187,1.5,1936.34,0.0676,1.1746,128548
12/04/2021,9498666,1.5,1936.34,0.0676,1.1904,128548
19/04/2021,39705592,1.5,1936.34,0.0676,1.2035,128548
26/04/2021,19505072,1.5,1936.34,0.0676,1.2085,128548
03/05/2021,8113605,1.71,2004.1,0.0676,1.2044,133114
10/05/2021,6965087,1.71,2004.1,0.0676,1.2169,133114
17/05/2021,16764393,1.71,2004.1,0.0676,1.2143,133114
24/05/2021,37228853,1.71,2004.1,0.0676,1.2212,133114
31/05/2021,3413984,1.71,2004.1,0.0676,1.2201,133114
07/06/2021,4718606,1.78,2031.13,0.0676,1.2162,128521
14/06/2021,13670365,1.78,2031.13,0.0676,1.2112,128521
21/06/2021,9460949,1.78,2031.13,0.0676,1.1891,128521
28/06/2021,43515498,1.78,2031.13,0.0676,1.191,128521
05/07/2021,51820865,1.81,2113.17,0.0924,1.1866,131980
12/07/2021,14254598,1.81,2113.17,0.0924,1.1852,131980
19/07/2021,9830030,1.81,2113.17,0.0924,1.1766,131980
26/07/2021,29259231,1.81,2113.17,0.0924,1.1787,131980
02/08/2021,9705224,1.38,2211.26,0.0924,1.1886,117542
09/08/2021,14505945,1.38,2211.26,0.0924,1.1761,117542
16/08/2021,31535540,1.38,2211.26,0.0924,1.1772,117542
23/08/2021,12659363,1.38,2211.26,0.0924,1.1718,117542
30/08/2021,4311426,1.38,2211.26,0.0924,1.1801,117542
06/09/2021,20937643,1.06,2411.24,0.0924,1.1864,114676
13/09/2021,6140880,1.06,2411.24,0.0924,1.178,114676
20/09/2021,26581568,1.06,2411.24,0.0924,1.1711,114676
27/09/2021,6847306,1.06,2411.24,0.0924,1.1698,114676
04/10/2021,17412852,1.06,2529.04,0.0924,1.1636,124242
